id,question,answer
843,What does the following mean: 'Activity 6.1 Engage in Activity 6.1 and classify the vertebrates mentioned A picture of a forest drawn by a student is given in Figure 6.6.'?,Activity 6.1 Engage in Activity 6.1 and classify the vertebrates mentioned A picture of a forest drawn by a student is given in Figure 6.6.
844,What does the following mean: 'Identify organisms in the picture.'?,Identify organisms in the picture.
845,What does the following mean: 'Figure 6.6 Several species of animals'?,Figure 6.6 Several species of animals
846,What does the following mean: 'Science | Animal Diversity 79 Science | Animal Diversity 78Classify above animals as vertebrates and invertebrates.'?,Science | Animal Diversity 79 Science | Animal Diversity 78Classify above animals as vertebrates and invertebrates.
847,What does the following mean: 'Vertebrates Invertebrates ..................'?,Vertebrates Invertebrates ..................
848,What does the following mean: '...................................................................................................'?,...................................................................................................
849,"What does the following mean: '6.2 Adaptations of organisms to environment Organisms live in various environments like water, land, atmosphere, on other organisms and also inside other organisms.'?","6.2 Adaptations of organisms to environment Organisms live in various environments like water, land, atmosphere, on other organisms and also inside other organisms."
850,"What does the following mean: 'Other than that there are organisms who live in snow, deep sea, in deserts as well as hot water springs.'?","Other than that there are organisms who live in snow, deep sea, in deserts as well as hot water springs."
851,What does the following mean: 'They have conquered such difficult environmental conditions due to their ability to adapt for these environments.'?,They have conquered such difficult environmental conditions due to their ability to adapt for these environments.
852,What does the following mean: 'The ability of organisms adapt to their environment is called adaptation.'?,The ability of organisms adapt to their environment is called adaptation.
853,"What does the following mean: 'These adaptations are useful for them to fulfil their needs (e.g.:- food, shelter, protection).'?","These adaptations are useful for them to fulfil their needs (e.g.:- food, shelter, protection)."
854,What does the following mean: 'Thereby the organisms ensure their existence in the environment.'?,Thereby the organisms ensure their existence in the environment.
855,What does the following mean: 'Usefulness of colour for the existence of animalsMost of the time colour of the animal blend with their living environment; thereby an animal cannot easily be identified by the predators and they will be protected.'?,Usefulness of colour for the existence of animalsMost of the time colour of the animal blend with their living environment; thereby an animal cannot easily be identified by the predators and they will be protected.
856,"What does the following mean: 'Activity 6.2 You will need :- 100 small pieces of ekels/tooth picks, colours (red, green, white, brown) Method :- ²Colour the pieces of ekel/tooth picks (25 in one colour) ²Spread the wrapped pieces of ekel in a lawn randomly.'?","Activity 6.2 You will need :- 100 small pieces of ekels/tooth picks, colours (red, green, white, brown) Method :- ²Colour the pieces of ekel/tooth picks (25 in one colour) ²Spread the wrapped pieces of ekel in a lawn randomly."
857,What does the following mean: '²Appoint 4 students to pick up the pieces of ekel.'?,²Appoint 4 students to pick up the pieces of ekel.
858,What does the following mean: 'Science | Animal Diversity 79 Science | Animal Diversity 78 ²What colour ekels were picked up at first?'?,Science | Animal Diversity 79 Science | Animal Diversity 78 ²What colour ekels were picked up at first?
859,What does the following mean: 'What colour was completed picking up at last?'?,What colour was completed picking up at last?
860,What does the following mean: '²Next spread the above ekel on a gravel floor.'?,²Next spread the above ekel on a gravel floor.
861,What does the following mean: 'Which pieces of ekel will be collected at last if they were asked to pick up as before.'?,Which pieces of ekel will be collected at last if they were asked to pick up as before.
862,What does the following mean: '²Do this activity in different environments in the above manner.'?,²Do this activity in different environments in the above manner.
863,What does the following mean: 'It is obvious that you might have collected the green colour ekel sticks last.'?,It is obvious that you might have collected the green colour ekel sticks last.
864,What does the following mean: 'Due to the similar colour of the grass and the green colour wrapped ekels sticks make difficult to separate them when picking.'?,Due to the similar colour of the grass and the green colour wrapped ekels sticks make difficult to separate them when picking.
865,"What does the following mean: 'Then, disperse all these ekel sticks on a gravel floor.'?","Then, disperse all these ekel sticks on a gravel floor."
866,What does the following mean: 'When you make the students to pick them once again which colour of ekel sticks would be picked by them last.'?,When you make the students to pick them once again which colour of ekel sticks would be picked by them last.
867,What does the following mean: 'Some of the animals who show camouflage are shown in the Figure 6.7.'?,Some of the animals who show camouflage are shown in the Figure 6.7.
868,What does the following mean: 'Moth Figure 6.7 Camouflage among different animals Leaf insect Grass hopper Butterfly Whip snake Caterpillar'?,Moth Figure 6.7 Camouflage among different animals Leaf insect Grass hopper Butterfly Whip snake Caterpillar
869,What does the following mean: 'Science | Animal Diversity 81 Science | Animal Diversity 80Assignment 6.3 Complete the following table using Figure 6.7.'?,Science | Animal Diversity 81 Science | Animal Diversity 80Assignment 6.3 Complete the following table using Figure 6.7.
870,What does the following mean: 'Table 6.2 Name of the animalEnvironment Colour of the EnvironmentColour of the body Grasshopper Leaf insect Butterfly Caterpillar Whip snake MothPlant leaves Leaves of guava Flowers Plant leaves Twigs of plants Stem.....................'?,Table 6.2 Name of the animalEnvironment Colour of the EnvironmentColour of the body Grasshopper Leaf insect Butterfly Caterpillar Whip snake MothPlant leaves Leaves of guava Flowers Plant leaves Twigs of plants Stem.....................
871,What does the following mean: '.....................................................................................................................................................................................................................'?,.....................................................................................................................................................................................................................
872,What does the following mean: 'The colour of these animals are properly blended with their environment.'?,The colour of these animals are properly blended with their environment.
873,"What does the following mean: 'Therefore, the predators cannot identify them at once.'?","Therefore, the predators cannot identify them at once."
874,What does the following mean: 'Presence of the same colour in the environment and the body of many animals will help them to protect themselves from the predators.'?,Presence of the same colour in the environment and the body of many animals will help them to protect themselves from the predators.
875,What does the following mean: 'The difficulty to identify animals separately from their surroundings due to blending of body colour to particular environments is called camouflage.'?,The difficulty to identify animals separately from their surroundings due to blending of body colour to particular environments is called camouflage.
876,What does the following mean: 'Animals get the following benefits due to camouflage.'?,Animals get the following benefits due to camouflage.
877,"What does the following mean: 'Figure 6.8 Leopard seeking for prey As the skin colour of animals blend with the environment they live in, predators find difficult to catch them on sight at once.'?","Figure 6.8 Leopard seeking for prey As the skin colour of animals blend with the environment they live in, predators find difficult to catch them on sight at once."
878,What does the following mean: 'Most of the animals do not become victims to predators due to their adaptations to the environment.'?,Most of the animals do not become victims to predators due to their adaptations to the environment.
879,What does the following mean: 'Skin colour of the animals helped them not only to protect themselves from predators but also to find prey for them.'?,Skin colour of the animals helped them not only to protect themselves from predators but also to find prey for them.
880,What does the following mean: 'e.g.:- The leopard with spotted skin and dusty colour helps them to catch preys without been seen.'?,e.g.:- The leopard with spotted skin and dusty colour helps them to catch preys without been seen.
881,"What does the following mean: 'Science | Animal Diversity 81 Science | Animal Diversity 80For extra knowledge Biston betularia , a moth species lived in Manchester town in England.'?","Science | Animal Diversity 81 Science | Animal Diversity 80For extra knowledge Biston betularia , a moth species lived in Manchester town in England."
882,What does the following mean: 'They were in two colours as white and black.'?,They were in two colours as white and black.
883,What does the following mean: 'The black coloured moths easily became the preys of predators as they were clearly visible.'?,The black coloured moths easily became the preys of predators as they were clearly visible.
884,What does the following mean: 'After industrial revolution the environment became grey and the black moths were safe due to their black colour.'?,After industrial revolution the environment became grey and the black moths were safe due to their black colour.
885,What does the following mean: 'Figure 6.9 Species of Lizard showing camouflageSome kinds of lizards change their colour according to the environment they live.'?,Figure 6.9 Species of Lizard showing camouflageSome kinds of lizards change their colour according to the environment they live.
886,What does the following mean: 'Assignment 6.4 Find the animals who show camouflage.'?,Assignment 6.4 Find the animals who show camouflage.
887,What does the following mean: 'Prepare an album with a collection of photographs of them.'?,Prepare an album with a collection of photographs of them.
888,What does the following mean: 'How shape helps the existence of animals It is important to change the body colour of animals for their own protection.'?,How shape helps the existence of animals It is important to change the body colour of animals for their own protection.
889,What does the following mean: 'Similarly the body shape of them is also very important for locomotion.'?,Similarly the body shape of them is also very important for locomotion.
890,What does the following mean: 'Let us engage in Activity 6.3 to examine that.'?,Let us engage in Activity 6.3 to examine that.
891,"What does the following mean: 'Activity 6.3 Showing how the body shape helps in locomotion You will need :- Method :- Some pods of ladies fingers, two pieces of thread about 50 cm, two small balls of clay, pins Cut the ladies fingers according to the illustrated picture.'?","Activity 6.3 Showing how the body shape helps in locomotion You will need :- Method :- Some pods of ladies fingers, two pieces of thread about 50 cm, two small balls of clay, pins Cut the ladies fingers according to the illustrated picture."
892,What does the following mean: 'A A B C C BCellotape A A'?,A A B C C BCellotape A A
893,What does the following mean: 'Science | Animal Diversity 83 Science | Animal Diversity 82 Two balls of clay in same size equal length of thread PinPin AB C A Make the two forms of prepared ladies fingers to move on a tray filled with water.'?,Science | Animal Diversity 83 Science | Animal Diversity 82 Two balls of clay in same size equal length of thread PinPin AB C A Make the two forms of prepared ladies fingers to move on a tray filled with water.
894,What does the following mean: 'Lumps of claywaterpieces of ladies fingers Observe whether both the structures move with a similar speed or their speed differs.'?,Lumps of claywaterpieces of ladies fingers Observe whether both the structures move with a similar speed or their speed differs.
895,What does the following mean: 'Both the ends of the A-A form of ladies fingers get a circular shape whereas the B-C form gets pointed shape (Tapering ends).'?,Both the ends of the A-A form of ladies fingers get a circular shape whereas the B-C form gets pointed shape (Tapering ends).
896,What does the following mean: 'When the two balls of clay lower down two forms of ladies fingers float along the tray.You will be able to see that streamlined shaped (B-C) form reaches the end of the tray faster than the other form (A-A) of ladies fingers.'?,When the two balls of clay lower down two forms of ladies fingers float along the tray.You will be able to see that streamlined shaped (B-C) form reaches the end of the tray faster than the other form (A-A) of ladies fingers.
897,What does the following mean: 'streamlined shape Figure 6.10 Streamlined body shape of fish and birds end of the tray faster than the other form (A-A) of ladies fingers.'?,streamlined shape Figure 6.10 Streamlined body shape of fish and birds end of the tray faster than the other form (A-A) of ladies fingers.
898,What does the following mean: 'Fish Bird Name few streamlined shape animals.'?,Fish Bird Name few streamlined shape animals.
899,What does the following mean: 'You will observe several kinds of birds and fish possess streamlined shape.'?,You will observe several kinds of birds and fish possess streamlined shape.
900,What does the following mean: 'Science | Animal Diversity 83 Science | Animal Diversity 82The body shape of birds and aquatic animals helps to overcome the difficulties they have in their environment.'?,Science | Animal Diversity 83 Science | Animal Diversity 82The body shape of birds and aquatic animals helps to overcome the difficulties they have in their environment.
901,What does the following mean: 'The body shape of birds and fish is mainly of streamlined shape because they need to have efficiency in their locomotion.'?,The body shape of birds and fish is mainly of streamlined shape because they need to have efficiency in their locomotion.
902,What does the following mean: '6.3 Use of dichotomous key for classification of organisms Assume that you remember how several plant leaves were classified using the dichotomous key.'?,6.3 Use of dichotomous key for classification of organisms Assume that you remember how several plant leaves were classified using the dichotomous key.
903,What does the following mean: 'Dichotomous key is used to classify living organisms based on the presence and the absence of characteristics.'?,Dichotomous key is used to classify living organisms based on the presence and the absence of characteristics.
904,What does the following mean: 'It is more appropriate if the characteristics chosen for this purpose is easily observable.'?,It is more appropriate if the characteristics chosen for this purpose is easily observable.
905,What does the following mean: 'Features of dichotomous key • Select a feature that could be differentiated easily.'?,Features of dichotomous key • Select a feature that could be differentiated easily.
906,What does the following mean: '• Consider one feature at a time and separate that feature as present or absent.'?,• Consider one feature at a time and separate that feature as present or absent.
907,"What does the following mean: '• Finally, separate the items so that only one item will remain at the end.'?","• Finally, separate the items so that only one item will remain at the end."
908,"What does the following mean: 'Some examples of categorisation using dichotomous key Absence of legs Snail, Fish, CobraPresence of legs Frog, Lizard, Cock Presence of 4 legs Frog, Lizard Absence of 4 legs Cock Presence of tail Lizard Absence of tail Frog Presence of fins Fish Absence of fins Snail, Cobra Presence of shell Snail Absence of shell CobraCock, Snail, Fish, Frog, Lizard, CobraAnimals Similarly, a dichotomous key can be prepared for the classification of plants.'?","Some examples of categorisation using dichotomous key Absence of legs Snail, Fish, CobraPresence of legs Frog, Lizard, Cock Presence of 4 legs Frog, Lizard Absence of 4 legs Cock Presence of tail Lizard Absence of tail Frog Presence of fins Fish Absence of fins Snail, Cobra Presence of shell Snail Absence of shell CobraCock, Snail, Fish, Frog, Lizard, CobraAnimals Similarly, a dichotomous key can be prepared for the classification of plants."
909,"What does the following mean: 'Science | Animal Diversity 85 Science | Animal Diversity 84Mango, Cycas, Guava, Coconut, Mimosa Not having a branched stem Coconut, CycasHaving a branched stem Mango, Guava, Mimosa Plants with thorns MimosaPlants without thorns Mango, Guava Having more seeds GuavaNon flowering plants Cycas MangoNot having more seedsPlants Flowering plants Coconut You might have realised that plants and animals can be identified separately by classifying them with the use of a dichotomous key.'?","Science | Animal Diversity 85 Science | Animal Diversity 84Mango, Cycas, Guava, Coconut, Mimosa Not having a branched stem Coconut, CycasHaving a branched stem Mango, Guava, Mimosa Plants with thorns MimosaPlants without thorns Mango, Guava Having more seeds GuavaNon flowering plants Cycas MangoNot having more seedsPlants Flowering plants Coconut You might have realised that plants and animals can be identified separately by classifying them with the use of a dichotomous key."
910,What does the following mean: 'Assignment 6.5 ²Observe the birds in your school premises/in your garden.'?,Assignment 6.5 ²Observe the birds in your school premises/in your garden.
911,"What does the following mean: '²Based on the various features of those observed birds, prepare a dichotomous key.'?","²Based on the various features of those observed birds, prepare a dichotomous key."
912,What does the following mean: 'Summary ²Animals can be grouped into two as animals with a backbone and animals without a backbone.'?,Summary ²Animals can be grouped into two as animals with a backbone and animals without a backbone.
913,What does the following mean: '²Animals with a backbone are named as vertebrates and animals without a backbone are named as invertebrates.'?,²Animals with a backbone are named as vertebrates and animals without a backbone are named as invertebrates.
914,What does the following mean: '²Similarities and differences can be seen among vertebrates.'?,²Similarities and differences can be seen among vertebrates.
915,What does the following mean: '²Various changes occur in organisms to suit and survive in their habitat is called adaptation.'?,²Various changes occur in organisms to suit and survive in their habitat is called adaptation.
916,What does the following mean: '²Organisms are well-adapted to live in their environment with body colour and shape.'?,²Organisms are well-adapted to live in their environment with body colour and shape.
917,What does the following mean: '²Dichotomous keys are used to classify organisms mainly based on their external features.'?,²Dichotomous keys are used to classify organisms mainly based on their external features.
918,What does the following mean: 'Science | Animal Diversity 85 Science | Animal Diversity 84Exercise 1.'?,Science | Animal Diversity 85 Science | Animal Diversity 84Exercise 1.
919,What does the following mean: 'Choose the correct answer.'?,Choose the correct answer.
920,What does the following mean: 'Select the group of animals consists of only vertebrates.'?,Select the group of animals consists of only vertebrates.
921,"What does the following mean: 'Butterfly, Sparrow, Bat c.'?","Butterfly, Sparrow, Bat c."
922,"What does the following mean: 'Gecko, Iguana, Crocodile d.'?","Gecko, Iguana, Crocodile d."
923,"What does the following mean: 'Crab, Prawn, Shark ii).'?","Crab, Prawn, Shark ii)."
924,What does the following mean: 'Select the invertebrate; a.'?,Select the invertebrate; a.
925,What does the following mean: 'A list of animals is given below.'?,A list of animals is given below.
926,"What does the following mean: 'Iguana, Mosquito, Squirrel, Fish (Snake head), Whale, Crow, Bat, Crab, Bull, Butterfly, Bee, Scorpion, Millipede i) Group the animals in the above list as vertebrates and invertebrates ii) Make a dichotomous key for the above vertebrates 3.'?","Iguana, Mosquito, Squirrel, Fish (Snake head), Whale, Crow, Bat, Crab, Bull, Butterfly, Bee, Scorpion, Millipede i) Group the animals in the above list as vertebrates and invertebrates ii) Make a dichotomous key for the above vertebrates 3."
927,What does the following mean: 'Name three animals showing camouflage.'?,Name three animals showing camouflage.
928,What does the following mean: 'State three advantages of camouflage with examples.'?,State three advantages of camouflage with examples.
929,"What does the following mean: 'Write two adaptations shown by the below mentioned animals, to their living environment.'?","Write two adaptations shown by the below mentioned animals, to their living environment."
930,What does the following mean: 'e.g.:- Fish - presence of fins - streamlined shape Whip snake - ......................'?,e.g.:- Fish - presence of fins - streamlined shape Whip snake - ......................
931,What does the following mean: '- ......................'?,- ......................
932,What does the following mean: 'Bird - ......................'?,Bird - ......................
933,What does the following mean: '- ......................'?,- ......................
934,What does the following mean: 'Millipede - ......................'?,Millipede - ......................
935,What does the following mean: '- ......................'?,- ......................
936,What does the following mean: 'Mantis - ......................'?,Mantis - ......................
937,What does the following mean: '- ......................'?,- ......................
938,What does the following mean: 'Caterpillar - ......................'?,Caterpillar - ......................
939,What does the following mean: '- ......................'?,- ......................
940,"What does the following mean: 'Science | Animal Diversity PB Science | Animal Diversity 86Technical Terms Vertebrates - mDIaGjxYSka -•ÒÍ¢uskÎPÒ Invertebrates - wmDIaGjxYSka -•ÒÍ¢usi¼PÒ Adaptation - wkqj¾;k -Cø\ÁõUP® Camouflage -fõYdka;rh -ö£õ´U÷Põ»® Streamlined shape -wkdl+, yevh -A¸ÂU÷Põmk ÁiÁ® Dichotomous key - fofnÿï iqÑh -C¸ QøÍa \õÂ'?","Science | Animal Diversity PB Science | Animal Diversity 86Technical Terms Vertebrates - mDIaGjxYSka -•ÒÍ¢uskÎPÒ Invertebrates - wmDIaGjxYSka -•ÒÍ¢usi¼PÒ Adaptation - wkqj¾;k -Cø\ÁõUP® Camouflage -fõYdka;rh -ö£õ´U÷Põ»® Streamlined shape -wkdl+, yevh -A¸ÂU÷Põmk ÁiÁ® Dichotomous key - fofnÿï iqÑh -C¸ QøÍa \õÂ"
941,What does the following mean: 'Science | Forms of Energy and their uses 87Forms of Energy and Uses 07 We do various types of work in our day-to-day life.'?,Science | Forms of Energy and their uses 87Forms of Energy and Uses 07 We do various types of work in our day-to-day life.
942,What does the following mean: 'Animals and machines also do work.'?,Animals and machines also do work.
943,What does the following mean: 'Some examples for such instances are given in Figure 7.1.'?,Some examples for such instances are given in Figure 7.1.
944,"What does the following mean: 'Running a vehicle Lifting a weight Rotating a fanRunning Figure 7.1 Different types of work In addition to those mentioned above, people engage in different types of work in day-to-day life.'?","Running a vehicle Lifting a weight Rotating a fanRunning Figure 7.1 Different types of work In addition to those mentioned above, people engage in different types of work in day-to-day life."
945,What does the following mean: 'Can you give some examples for such work?'?,Can you give some examples for such work?
946,What does the following mean: 'Assignment 7.1 ²Give five examples for instances of doing work in day-to-day life.'?,Assignment 7.1 ²Give five examples for instances of doing work in day-to-day life.
947,"What does the following mean: 'It is clear that man, as well as animals and machines do a lot of work.'?","It is clear that man, as well as animals and machines do a lot of work."
948,"What does the following mean: 'Now, let us consider what is needed for man as well as other objects to do work.'?","Now, let us consider what is needed for man as well as other objects to do work."
949,What does the following mean: 'Let us engage in Activity 7.1 and 7.2 for studying this.'?,Let us engage in Activity 7.1 and 7.2 for studying this.
950,"What does the following mean: 'Activity 7.1 You will need :- A piece of bicycle tube (2 cm x 30 cm) or any other stretchable thing of that size, a metre ruler'?","Activity 7.1 You will need :- A piece of bicycle tube (2 cm x 30 cm) or any other stretchable thing of that size, a metre ruler"
951,What does the following mean: 'Science | Forms of Energy and their uses 88Method :- ²Give the strip of rubber tube to each student and tell to stretch it as much as possible.'?,Science | Forms of Energy and their uses 88Method :- ²Give the strip of rubber tube to each student and tell to stretch it as much as possible.
952,"What does the following mean: '²Note down the maximum length, that each student stretched.'?","²Note down the maximum length, that each student stretched."
953,What does the following mean: 'Table 7.1 Name Maximum length stretched ²The maximum length of the stretched rubber strip was different from student to student.'?,Table 7.1 Name Maximum length stretched ²The maximum length of the stretched rubber strip was different from student to student.
954,What does the following mean: 'Discuss the reason for this difference.'?,Discuss the reason for this difference.
955,"What does the following mean: '²What have they applied/used to stretch the rubber tube?Figure 7.2 Give the strip of rubber tube to each student and tell to stretch it as much as Note down the maximum length, that Figure 7.2 Activity 7.2 You will need :- One metre long thread, a laboratary stand, a small piece of stone Method :- ²Tie one end of the thread to the piece of stone.'?","²What have they applied/used to stretch the rubber tube?Figure 7.2 Give the strip of rubber tube to each student and tell to stretch it as much as Note down the maximum length, that Figure 7.2 Activity 7.2 You will need :- One metre long thread, a laboratary stand, a small piece of stone Method :- ²Tie one end of the thread to the piece of stone."
956,What does the following mean: '²Tie the other end of the thread on the stand.'?,²Tie the other end of the thread on the stand.
957,What does the following mean: '²Give the hanging stone a push.'?,²Give the hanging stone a push.
958,What does the following mean: '²Observe the motion of the stone for a long period of time.'?,²Observe the motion of the stone for a long period of time.
959,What does the following mean: '²What did you apply on the stone to move?'?,²What did you apply on the stone to move?
960,What does the following mean: '²Can you tell the reason for the gradual decrease of motion of the stone?'?,²Can you tell the reason for the gradual decrease of motion of the stone?
961,"What does the following mean: '²Discuss in the classroom, * What do you do to start the motion of stone?'?","²Discuss in the classroom, * What do you do to start the motion of stone?"
962,What does the following mean: '* What does the stone gain to start its motion?Figure 7.3 Motion of a hanging stone'?,* What does the stone gain to start its motion?Figure 7.3 Motion of a hanging stone
963,"What does the following mean: 'Science | Forms of Energy and their uses 89Work can be simply explained as a push or a pull, resulting a movement of an object.'?","Science | Forms of Energy and their uses 89Work can be simply explained as a push or a pull, resulting a movement of an object."
964,What does the following mean: 'It is clear that work is done when stretching the strip of rubber tube in Activity 7.1 and moving the stone in Activity 7.2.'?,It is clear that work is done when stretching the strip of rubber tube in Activity 7.1 and moving the stone in Activity 7.2.
965,What does the following mean: '² Ability to do work is known as energy.'?,² Ability to do work is known as energy.
966,What does the following mean: '² International unit of measuring energy is Joule (J).'?,² International unit of measuring energy is Joule (J).
967,What does the following mean: 'Energy is necessary to perform work.'?,Energy is necessary to perform work.
968,"What does the following mean: 'To increase the amount of work done, the amount of energy applied should be increased.'?","To increase the amount of work done, the amount of energy applied should be increased."
969,"What does the following mean: 'For example, you should supply more energy to move the stone further in Activity 7.2.'?","For example, you should supply more energy to move the stone further in Activity 7.2."
970,What does the following mean: 'Energy exists in different forms.'?,Energy exists in different forms.
971,"What does the following mean: 'Now, let us consider the different forms that energy or the ability to do work can exist.'?","Now, let us consider the different forms that energy or the ability to do work can exist."
972,What does the following mean: 'Let us pay our attention to some different types of work done and different forms of energy used.'?,Let us pay our attention to some different types of work done and different forms of energy used.
973,What does the following mean: 'Carry out Activity 7.3 to find out the different forms of energy used to do different types of work.'?,Carry out Activity 7.3 to find out the different forms of energy used to do different types of work.
974,"What does the following mean: 'Activity 7.3 Identify various forms of energy Collect following items.You will need :- A torch bulb, dry cells and some pieces of wire, a battery powered wall clock, a greeting card which produce music, a bicycle dynamo, a radio set, various types of winding and battery-powered toys, an electric motor, winding table clock Method :- • Study as groups how the given equipment work.• Identify the main forms of energy that made each equipment work.'?","Activity 7.3 Identify various forms of energy Collect following items.You will need :- A torch bulb, dry cells and some pieces of wire, a battery powered wall clock, a greeting card which produce music, a bicycle dynamo, a radio set, various types of winding and battery-powered toys, an electric motor, winding table clock Method :- • Study as groups how the given equipment work.• Identify the main forms of energy that made each equipment work."
975,"What does the following mean: '• Identify other forms of energy created, when functioning the equipment.'?","• Identify other forms of energy created, when functioning the equipment."
976,What does the following mean: '• Complete the following table according to your observations.'?,• Complete the following table according to your observations.
977,"What does the following mean: 'Science | Forms of Energy and their uses 90 Figure 7.4 Equipment Main form of energy that made the equipment workOther forms of energy Created Electric bulb Electricity Light energy, Heat energyTable 7.2 By doing Activity 7.3 you may have identified several forms of energy found in most instances.'?","Science | Forms of Energy and their uses 90 Figure 7.4 Equipment Main form of energy that made the equipment workOther forms of energy Created Electric bulb Electricity Light energy, Heat energyTable 7.2 By doing Activity 7.3 you may have identified several forms of energy found in most instances."
978,What does the following mean: 'Most of them are used in various tasks.'?,Most of them are used in various tasks.
979,What does the following mean: 'Main forms of energy identified in Activity 7.3 can be listed as given below.'?,Main forms of energy identified in Activity 7.3 can be listed as given below.
980,What does the following mean: 'Thermal or heat energy 3.'?,Thermal or heat energy 3.
981,What does the following mean: 'Sound energy Let us study further about some forms of energy you identified.'?,Sound energy Let us study further about some forms of energy you identified.
982,"What does the following mean: '7.1 Kinetic energy In most instances, we see moving things.'?","7.1 Kinetic energy In most instances, we see moving things."
983,"What does the following mean: 'Wind, a moving vehicle, flowing water and a moving pebble can be given as examples.'?","Wind, a moving vehicle, flowing water and a moving pebble can be given as examples."
984,What does the following mean: 'Let us find out whether the moving objects have some sort of ener gy.'?,Let us find out whether the moving objects have some sort of ener gy.
985,"What does the following mean: 'Science | Forms of Energy and their uses 91Activity 7.4 You will need :- A turbine made by fixing metal blades to a cork stopper, a metal rod, a ball, a moving toy car, a piece of stone, a bowl of water Method :- ²Hold the turbine under an opened water tap ²Keep the ball on a table and send the toy car towards it.'?","Science | Forms of Energy and their uses 91Activity 7.4 You will need :- A turbine made by fixing metal blades to a cork stopper, a metal rod, a ball, a moving toy car, a piece of stone, a bowl of water Method :- ²Hold the turbine under an opened water tap ²Keep the ball on a table and send the toy car towards it."
986,What does the following mean: '²Drop the piece of stone into still water.'?,²Drop the piece of stone into still water.
987,"What does the following mean: '²Lead a discussion, based on your observation.'?","²Lead a discussion, based on your observation."
988,What does the following mean: 'Figure 7.5 You may have observed that some work is done in each of the above activities.'?,Figure 7.5 You may have observed that some work is done in each of the above activities.
989,What does the following mean: 'Can you say from where the energy was obtained for the work done?'?,Can you say from where the energy was obtained for the work done?
990,What does the following mean: 'The energy for above work is gained from the moving objects.'?,The energy for above work is gained from the moving objects.
991,"What does the following mean: 'e.g.:- flowing water, moving stone This activity reveals us that moving objects have energy.'?","e.g.:- flowing water, moving stone This activity reveals us that moving objects have energy."
992,What does the following mean: 'Energy that a moving object contains is called the kinetic energy.'?,Energy that a moving object contains is called the kinetic energy.
993,What does the following mean: 'Electricity can be generated by kinetic energy of sea waves.'?,Electricity can be generated by kinetic energy of sea waves.
994,"What does the following mean: 'grinding grains, pumping water and generating electricity can be done using kinetic energy of wind.'?","grinding grains, pumping water and generating electricity can be done using kinetic energy of wind."
995,What does the following mean: 'Electricity is generated in a hydropower station using kinetic energy of water.'?,Electricity is generated in a hydropower station using kinetic energy of water.
996,What does the following mean: 'Electricity can be generated by kinetic energy of sea waves.'?,Electricity can be generated by kinetic energy of sea waves.
997,"What does the following mean: 'grinding grains, pumping water and generating Electricity is generated in a hydropower station using'?","grinding grains, pumping water and generating Electricity is generated in a hydropower station using"
998,"What does the following mean: 'Science | Forms of Energy and their uses 92Assignment 7.2 List out five objects which contain kinetic energy Energy transformation When work is done using different forms of energy, it is converted to another form of energy.'?","Science | Forms of Energy and their uses 92Assignment 7.2 List out five objects which contain kinetic energy Energy transformation When work is done using different forms of energy, it is converted to another form of energy."
999,What does the following mean: 'Let us consider the generation of electricity by kinetic energy of wind.'?,Let us consider the generation of electricity by kinetic energy of wind.
1000,What does the following mean: 'Here kinetic energy is converted to electrical energy by the dynamo fixed to the wind mill.'?,Here kinetic energy is converted to electrical energy by the dynamo fixed to the wind mill.
1001,What does the following mean: 'Conversion of one form of energy to another form of energy is called energy transformation.'?,Conversion of one form of energy to another form of energy is called energy transformation.
1002,What does the following mean: 'Energy transformation that occurs when electricity is generated by wind can be given as below.'?,Energy transformation that occurs when electricity is generated by wind can be given as below.
1003,What does the following mean: 'Kinetic energy Electrical energy Write the energy transformation associated with the following instances?'?,Kinetic energy Electrical energy Write the energy transformation associated with the following instances?
1004,What does the following mean: 'Obtaining light from an electric bulb Generating electricity by a dynamoSelf-assesment 1 Figure 7.6 Water flows from higher elevation Generating electricity by a dynamo Figure 7.6 Water flows from 7.2 Potential energy Let us consider a water stream.'?,Obtaining light from an electric bulb Generating electricity by a dynamoSelf-assesment 1 Figure 7.6 Water flows from higher elevation Generating electricity by a dynamo Figure 7.6 Water flows from 7.2 Potential energy Let us consider a water stream.
1005,What does the following mean: 'We already know that it contains kinetic energy and it can do work.'?,We already know that it contains kinetic energy and it can do work.
1006,What does the following mean: 'e.g.:- turning a turbine How did that water get energy for flowing?'?,e.g.:- turning a turbine How did that water get energy for flowing?
1007,What does the following mean: 'Does water in any place have the potential to flow?'?,Does water in any place have the potential to flow?
1008,What does the following mean: 'Always water in a higher position can be subjected to flow.'?,Always water in a higher position can be subjected to flow.
1009,What does the following mean: 'Science | Forms of Energy and their uses 93e.g.:- water in a tank or reservoir at a higher elevation.'?,Science | Forms of Energy and their uses 93e.g.:- water in a tank or reservoir at a higher elevation.
1010,What does the following mean: 'It is clear that water at a higher elevation contains energy and it has the ability of doing work.'?,It is clear that water at a higher elevation contains energy and it has the ability of doing work.
1011,What does the following mean: 'Let us consider a toy car operates by winding a spring.'?,Let us consider a toy car operates by winding a spring.
1012,What does the following mean: 'When winding the spring energy is stored and the shape of the spring is also changed.'?,When winding the spring energy is stored and the shape of the spring is also changed.
1013,What does the following mean: 'The instrument operates using the stored energy of the wound spring.'?,The instrument operates using the stored energy of the wound spring.
